"Points:0","Points:1","Points:2","T","T.liquid","T.vapor","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.vapor","alphas","dgdt.liquid","dgdt.vapor","p","p_rgh","rho"
0.5,0.033332,0.005,299.425,299.425,299.425,0.00870945,0.000178343,0,1,1,0,0,0,-2.20218e-05,101325,101325,1
0.5,0.033332,0,299.425,299.425,299.425,0.00870945,0.000178343,0,1,1,0,0,0,-2.20218e-05,101325,101325,1
0.5,0.0349986,0.005,299.43,299.43,299.43,0.00845945,0.000189865,0,1,1,0,0,0,-2.22397e-05,101325,101325,1
0.5,0.0349986,0,299.43,299.43,299.43,0.00845945,0.000189865,0,1,1,0,0,0,-2.22397e-05,101325,101325,1
0.5,0.0366652,0.005,299.434,299.434,299.434,0.00814302,0.000200972,0,1,1,0,0,0,-2.22747e-05,101325,101325,1
0.5,0.0366652,0,299.434,299.434,299.434,0.00814302,0.000200972,0,1,1,0,0,0,-2.22747e-05,101325,101325,1
0.5,0.0383318,0.005,299.44,299.44,299.44,0.0077602,0.000211573,0,1,1,0,0,0,-2.21214e-05,101325,101325,1
0.5,0.0383318,0,299.44,299.44,299.44,0.0077602,0.000211573,0,1,1,0,0,0,-2.21214e-05,101325,101325,1
0.5,0.0399984,0.005,299.446,299.446,299.446,0.00731106,0.00022158,0,1,1,0,0,0,-2.17757e-05,101325,101325,1
0.5,0.0399984,0,299.446,299.446,299.446,0.00731106,0.00022158,0,1,1,0,0,0,-2.17757e-05,101325,101325,1
0.5,0.041665,0.005,299.453,299.453,299.453,0.00679571,0.000230902,0,1,1,0,0,0,-2.12313e-05,101325,101325,1
0.5,0.041665,0,299.453,299.453,299.453,0.00679571,0.000230902,0,1,1,0,0,0,-2.12313e-05,101325,101325,1
0.5,0.0433316,0.005,299.46,299.46,299.46,0.00621428,0.000239448,0,1,1,0,0,0,-2.0482e-05,101325,101325,1
0.5,0.0433316,0,299.46,299.46,299.46,0.00621428,0.000239448,0,1,1,0,0,0,-2.0482e-05,101325,101325,1
0.5,0.0449982,0.005,299.467,299.467,299.467,0.00556694,0.000247131,0,1,1,0,0,0,-1.952e-05,101325,101325,1
0.5,0.0449982,0,299.467,299.467,299.467,0.00556694,0.000247131,0,1,1,0,0,0,-1.952e-05,101325,101325,1
0.5,0.0466648,0.005,299.476,299.476,299.476,0.00485389,0.000253858,0,1,1,0,0,0,-1.83359e-05,101325,101325,1
0.5,0.0466648,0,299.476,299.476,299.476,0.00485389,0.000253858,0,1,1,0,0,0,-1.83359e-05,101325,101325,1
0.5,0.0483314,0.005,299.484,299.484,299.484,0.00407534,0.000259539,0,1,1,0,0,0,-1.69212e-05,101325,101325,1
0.5,0.0483314,0,299.484,299.484,299.484,0.00407534,0.000259539,0,1,1,0,0,0,-1.69212e-05,101325,101325,1
0.5,0.049998,0.005,299.494,299.494,299.494,0.00323155,0.000264085,0,1,1,0,0,0,-1.52655e-05,101325,101325,1
0.5,0.049998,0,299.494,299.494,299.494,0.00323155,0.000264085,0,1,1,0,0,0,-1.52655e-05,101325,101325,1
0.5,0.0516646,0.005,299.503,299.503,299.503,0.00232278,0.000267405,0,1,1,0,0,0,-1.33591e-05,101325,101325,1
0.5,0.0516646,0,299.503,299.503,299.503,0.00232278,0.000267405,0,1,1,0,0,0,-1.33591e-05,101325,101325,1
0.5,0.0533312,0.005,299.513,299.513,299.513,0.00134933,0.000269408,0,1,1,0,0,0,-1.11922e-05,101325,101325,1
0.5,0.0533312,0,299.513,299.513,299.513,0.00134933,0.000269408,0,1,1,0,0,0,-1.11922e-05,101325,101325,1
0.5,0.0549978,0.005,299.523,299.523,299.523,0.000311523,0.000270006,0,1,1,0,0,0,-8.75491e-06,101325,101325,1
0.5,0.0549978,0,299.523,299.523,299.523,0.000311523,0.000270006,0,1,1,0,0,0,-8.75491e-06,101325,101325,1
0.5,0.0566644,0.005,299.534,299.534,299.534,-0.000790327,0.000269108,0,1,1,0,0,0,-6.03815e-06,101325,101325,1
0.5,0.0566644,0,299.534,299.534,299.534,-0.000790327,0.000269108,0,1,1,0,0,0,-6.03815e-06,101325,101325,1
0.5,0.058331,0.005,299.544,299.544,299.544,-0.00195587,0.000266626,0,1,1,0,0,0,-3.03432e-06,101325,101325,1
0.5,0.058331,0,299.544,299.544,299.544,-0.00195587,0.000266626,0,1,1,0,0,0,-3.03432e-06,101325,101325,1
0.5,0.0599976,0.005,299.555,299.555,299.555,-0.00318477,0.000262472,0,1,1,2.07532e-41,2.07532e-41,0,2.62148e-07,101325,101325,1
0.5,0.0599976,0,299.555,299.555,299.555,-0.00318477,0.000262472,0,1,1,2.07532e-41,2.07532e-41,0,2.62148e-07,101325,101325,1
0.5,0.0616642,0.005,299.566,299.566,299.566,-0.00447665,0.00025656,0,1,1,2.32276e-37,2.32276e-37,0,3.85389e-06,101325,101325,1
0.5,0.0616642,0,299.566,299.566,299.566,-0.00447665,0.00025656,0,1,1,2.32276e-37,2.32276e-37,0,3.85389e-06,101325,101325,1
0.5,0.0633308,0.005,299.576,299.576,299.576,-0.00583118,0.000248805,0,1,1,6.70293e-34,6.70293e-34,0,7.74157e-06,101325,101325,1
0.5,0.0633308,0,299.576,299.576,299.576,-0.00583118,0.000248805,0,1,1,6.70293e-34,6.70293e-34,0,7.74157e-06,101325,101325,1
0.5,0.0649974,0.005,299.587,299.587,299.587,-0.00724798,0.000239123,0,1,1,8.63218e-31,8.63218e-31,0,1.1922e-05,101325,101325,1
