"Isosurface: Direction [1,0,0] (m)","Isosurface: Position[Y] (m)"
0.0,1.0001550831279222
9.090909039383113E-4,1.0001504888834445
0.0027272727353316664,1.000140014486131
0.00454545453859032,1.0001200382019781
0.006363636346707288,1.0000915736100586
0.008181818182614053,1.0000566604862635
0.01000000000670985,1.0000167647720608
0.011672042892666053,0.9999787068605251
0.012581133796351906,0.9999564701010633
0.01363636364283987,0.9999326299559341
0.015454545451372356,0.9998925452675601
0.017272727266664737,0.9998545182319111
0.019090909092876446,0.9998224661614343
0.020909090919456495,0.9997918987146539
0.022727272729288227,0.9997640488500155
0.024545454540898216,0.9997547728734846
0.026363636363959688,0.999757764494807
0.02818181818602798,0.9997604017050161
0.030000000005452193,0.9997626895462409
0.031818181821721504,0.9997640112108567
0.03363636363809256,0.9997646663030109
0.0354545454534721,0.9997644533661898
0.03727272727558446,0.9997636983971154
0.03909090909690864,0.9997622708505525
0.04090909090478766,0.9997604332004211
0.04272727272260351,0.9997580605103946
0.04454545454956055,0.9997553654135063
0.04636363638254,0.9997522473317165
0.04818181820205,0.9997488209323013
0.050000000004236655,0.999745062019092
0.051818181810078606,0.999740980781386
0.053636363623538956,0.9997366115088742
0.05545454545148745,0.9997318714511314
0.05727272727166151,0.9997268367789449
0.05909090910407927,0.9997213927813938
0.06090909092474289,0.9997156412945643
0.06272727273490207,0.9997095212358356
0.06454545456561292,0.9997030207659555
0.06636363635827468,0.9996962680088342
0.0681818181604125,0.9996893770412536
0.07000000000959317,0.9996822874093932
0.07181818183088753,0.9996751837801807
0.07363636363011715,0.9996680039472915
0.07545454544897401,0.9996609046214433
0.07727272727693854,0.9996537768929845
0.07912997159258701,0.9996466355911411
0.08094815338960168,0.9996395674146749
0.08272727270268473,0.9996327804161623
0.08454545453407766,0.9996260770776808
0.08636363636423666,0.9996194614480979
0.08818181819476427,0.9996129190188375
0.09000000001756442,0.9996065133363916
0.0918181818425236,0.999600194794205
0.09363636365804473,0.9995940127873458
0.09545454546306642,0.9995879105603498
0.09727272727220668,0.999581931581421
0.09909090908634084,0.9995760210474266
0.10090909090377127,0.9995702204097384
0.10272727272517387,0.9995644855471356
0.10454545452440914,0.9995588391925585
0.10636363634515622,0.9995532589427538
0.10818181819937653,0.9995477410391241
0.11000000000505987,0.9995422957441196
0.11181818180339434,0.9995368959029538
0.11363636364132859,0.9995315598248655
0.11545454546123166,0.9995262631118508
0.11727272727332207,0.99952102320538
0.11909090909116665,0.9995158177880059
0.12090909091018975,0.9995106643641736
0.1227272727230008,0.9995055422417217
0.12454545451989216,0.9995004678468907
0.12636363635717046,0.9994954237589094
0.12818181820177385,0.9994904237152696
0.13000000001508671,0.9994854537592536
0.1318181818186307,0.9994805254467092
0.13363636362747125,0.9994756275996171
0.13545454545177021,0.9994707698003944
0.13727272727195397,0.9994659437952705
0.13909090909708313,0.9994611544181436
0.1409090909404172,0.9994563998404324
0.14272727274131627,0.9994516803886301
0.14454545453133855,0.9994469971145465
