"Vertical Plane: Position[Y] (m)","Vertical Plane: u*"
0.01190428570319893,0.032298774214546466
0.035712857109596874,0.09149748571305512
0.059521428283173555,0.1452029891222571
0.08332999968631069,0.19354541308849046
0.10713857132552998,0.23629874350466445
0.13094714273518882,0.27410301255826897
0.1547557139087655,0.30714870700361324
0.1785642853040768,0.33477409507448624
0.20237285694329618,0.3569600192868267
0.22618142836078084,0.3745885884845119
0.24998999953435744,0.3873025735542246
0.273798570980726,0.3951404042152909
0.2976071427363559,0.39857333795173466
0.32141571410278325,0.3967333530499776
0.3452242851599492,0.3900784612366677
0.3690328565663472,0.37824048983398517
0.39329015504359044,0.3617216241457666
0.41709872644998836,0.3408161467054706
0.44045857078554096,0.31545252850691174
0.4642671421919391,0.2846757618667012
0.48807571406397976,0.24932669682689515
0.511884285703199,0.20919986898150394
0.5356928571095969,0.1640062066560637
0.5595014282831736,0.11416163954330505
0.5833099996863107,0.05956227783565012
0.60711857132553,0.0012635633293502154
0.6309271427351888,-0.06237753756993286
0.6547357139087655,-0.1305344526696081
0.6785442853040767,-0.2030879240100572
0.7023528569432959,-0.2798852665103979
0.7261614283607807,-0.36073962102503737
0.7499699995343573,-0.4454098047753344
0.7737785709807259,-0.5336538554939534
0.7975871427363559,-0.6293350621211842
0.821395714102783,-0.7240315737484289
0.8452042851599488,-0.8166417940699127
0.8690128565663473,-0.9159882404582699
0.8932701550435906,-1.0192979264615887
0.9170787264499883,-1.1226440724139097
0.9404385707855412,-1.2259007805420754
0.9642471421919392,-1.333496704947545
0.9880557140639796,-1.4416982777459841
1.011864285703199,-1.4761838267239045
1.0356728571095972,-1.4051730483131337
1.0594814282831735,-1.3067216003744622
1.0832899996863103,-1.2083938624378523
1.1070985713255301,-1.111201538864634
1.130907142735189,-1.0122548593918177
1.1547157139087654,-0.9139092739344457
1.1785242853040765,-0.8162712268278483
1.202332856943296,-0.7195404029742757
1.2261414283607808,-0.6239598832686377
1.2499499995343575,-0.5297942542125093
1.2737585709807262,-0.4380866791728845
1.297567142736356,-0.3473504736208444
1.321375714102783,-0.2587780456786654
1.3451842851599491,-0.17260029623424217
1.3689928565663472,-0.08908208758971864
1.39325015504359,-0.006926723112268085
1.417058726449988,0.07070994557687393
1.4404185707855408,0.1440807651749183
1.464227142191939,0.21579258253439804
1.48803571406398,0.28437799086445864
1.5118442857031988,0.34979196328911827
1.5356528571095966,0.4129488679432481
1.5594614282831736,0.4719851806561003
1.5832699996863107,0.5277794302492235
1.6070785713255296,0.5793005700543097
1.6308871427351888,0.6286185631108075
1.654695713908765,0.6747273685374194
1.6785042853040766,0.7176431411443254
1.7023128569432964,0.7573825343242447
1.7261214283607809,0.7939653098266533
1.7499299995343578,0.8274111553222337
1.7737385709807258,0.8587071475074509
1.7975471427363554,0.8859207051281028
1.8213557141027836,0.9100569354015301
1.8451642851599492,0.931134113450354
1.8689728569418138,0.9482721374477597
1.8930641404860236,0.963471853715228
1.9168727117501843,0.9754003340451375
1.9403985715216712,0.9842881934318981
1.9642071429076737,0.9902812008495558
1.988015714276814,0.9932775595371706
