"Points:0","Points:1","Points:2","T","T.liquid","T.vapor","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.vapor","alphas","dgdt.liquid","dgdt.vapor","p","p_rgh","rho"
0.5,0.0299988,0.005,299.335,299.335,299.335,0.00921489,0.000131529,0,1,1,4.1185e-25,4.1185e-25,0,-2.30454e-05,101327,101327,1
0.5,0.0299988,0,299.335,299.335,299.335,0.00921489,0.000131529,0,1,1,4.1185e-25,4.1185e-25,0,-2.30454e-05,101327,101327,1
0.5,0.0316654,0.005,299.341,299.341,299.341,0.00910096,0.000141801,0,1,1,2.948e-25,2.948e-25,0,-2.33732e-05,101327,101327,1
0.5,0.0316654,0,299.341,299.341,299.341,0.00910096,0.000141801,0,1,1,2.948e-25,2.948e-25,0,-2.33732e-05,101327,101327,1
0.5,0.033332,0.005,299.348,299.348,299.348,0.00892018,0.000151861,0,1,1,1.39507e-25,1.39507e-25,0,-2.34872e-05,101327,101327,1
0.5,0.033332,0,299.348,299.348,299.348,0.00892018,0.000151861,0,1,1,1.39507e-25,1.39507e-25,0,-2.34872e-05,101327,101327,1
0.5,0.0349986,0.005,299.356,299.356,299.356,0.00867246,0.000161632,0,1,1,4.57077e-26,4.57077e-26,0,-2.33832e-05,101327,101327,1
0.5,0.0349986,0,299.356,299.356,299.356,0.00867246,0.000161632,0,1,1,4.57077e-26,4.57077e-26,0,-2.33832e-05,101327,101327,1
0.5,0.0366652,0.005,299.364,299.364,299.364,0.00835771,0.000171036,0,1,1,1.08364e-26,1.08364e-26,0,-2.3058e-05,101327,101327,1
0.5,0.0366652,0,299.364,299.364,299.364,0.00835771,0.000171036,0,1,1,1.08364e-26,1.08364e-26,0,-2.3058e-05,101327,101327,1
0.5,0.0383318,0.005,299.374,299.374,299.374,0.00797582,0.000179997,0,1,1,1.93366e-27,1.93366e-27,0,-2.25126e-05,101327,101327,1
0.5,0.0383318,0,299.374,299.374,299.374,0.00797582,0.000179997,0,1,1,1.93366e-27,1.93366e-27,0,-2.25126e-05,101327,101327,1
0.5,0.0399984,0.005,299.384,299.384,299.384,0.0075267,0.000188437,0,1,1,2.68513e-28,2.68513e-28,0,-2.17438e-05,101327,101327,1
0.5,0.0399984,0,299.384,299.384,299.384,0.0075267,0.000188437,0,1,1,2.68513e-28,2.68513e-28,0,-2.17438e-05,101327,101327,1
0.5,0.041665,0.005,299.396,299.396,299.396,0.00701026,0.000196281,0,1,1,2.98242e-29,2.98242e-29,0,-2.07499e-05,101327,101327,1
0.5,0.041665,0,299.396,299.396,299.396,0.00701026,0.000196281,0,1,1,2.98242e-29,2.98242e-29,0,-2.07499e-05,101327,101327,1
0.5,0.0433316,0.005,299.408,299.408,299.408,0.0064264,0.000203452,0,1,1,2.70954e-30,2.70954e-30,0,-1.95306e-05,101327,101327,1
0.5,0.0433316,0,299.408,299.408,299.408,0.0064264,0.000203452,0,1,1,2.70954e-30,2.70954e-30,0,-1.95306e-05,101327,101327,1
0.5,0.0449982,0.005,299.42,299.42,299.42,0.00577504,0.000209874,0,1,1,2.05023e-31,2.05023e-31,0,-1.80842e-05,101327,101327,1
0.5,0.0449982,0,299.42,299.42,299.42,0.00577504,0.000209874,0,1,1,2.05023e-31,2.05023e-31,0,-1.80842e-05,101327,101327,1
0.5,0.0466648,0.005,299.434,299.434,299.434,0.00505609,0.000215474,0,1,1,1.31108e-32,1.31108e-32,0,-1.64104e-05,101327,101327,1
0.5,0.0466648,0,299.434,299.434,299.434,0.00505609,0.000215474,0,1,1,1.31108e-32,1.31108e-32,0,-1.64104e-05,101327,101327,1
0.5,0.0483314,0.005,299.448,299.448,299.448,0.00426946,0.000220175,0,1,1,7.16944e-34,7.16944e-34,0,-1.45104e-05,101327,101327,1
0.5,0.0483314,0,299.448,299.448,299.448,0.00426946,0.000220175,0,1,1,7.16944e-34,7.16944e-34,0,-1.45104e-05,101327,101327,1
0.5,0.049998,0.005,299.462,299.462,299.462,0.00341503,0.000223904,0,1,1,3.38416e-35,3.38416e-35,0,-1.2385e-05,101327,101327,1
0.5,0.049998,0,299.462,299.462,299.462,0.00341503,0.000223904,0,1,1,3.38416e-35,3.38416e-35,0,-1.2385e-05,101327,101327,1
